Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;EB;NA;FE de las JONS;EQUO-INICIATIVA;PACMA;PP;UPYD;PSOE-A;ADELANTE ANDALUCÍA;VOX;CILUS;PCPA;AxSÍ;RECORTES CERO - M+J - GV
4;1;Abla;;1.012;0;1.012;634;12;5;378;622;617;85;2;1;0;1;7;146;1;260;40;66;2;1;4;1
4;2;Abrucena;;1.023;0;1.023;649;8;5;374;641;636;71;2;1;1;1;4;163;0;289;51;47;2;1;1;2
4;3;Adra;;17.490;1;17.491;9.649;145;94;7.842;9.504;9.410;1.162;8;10;5;20;111;3.245;8;2.292;615;1.884;21;11;5;13
4;4;Albánchez;;402;0;402;287;7;5;115;280;275;68;0;0;0;0;0;54;0;99;34;19;1;0;0;0
4;5;Alboloduy;;529;0;529;365;6;0;164;359;359;25;0;0;3;0;3;143;0;144;11;30;0;0;0;0
4;6;Albox;;7.192;0;7.192;3.973;47;35;3.219;3.926;3.891;667;10;4;5;7;26;1.579;3;1.038;226;225;80;7;9;5
4;7;Alcolea;;724;0;724;455;6;2;269;449;447;81;1;1;1;1;2;67;2;154;50;85;2;0;0;0
4;8;Alcóntar;;468;0;468;335;4;0;133;331;331;19;0;0;0;0;2;168;0;97;19;24;2;0;0;0
4;9;Alcudia de Monteagud;;139;0;139;99;5;0;40;94;94;17;0;0;1;0;0;39;0;18;9;10;0;0;0;0
4;10;Alhabia;;552;0;552;379;9;8;173;370;362;47;0;0;0;1;2;68;0;199;17;27;0;1;0;0
4;11;Alhama de Almería;;2.757;0;2.757;1.895;36;22;862;1.859;1.837;210;0;0;1;4;26;401;2;770;237;183;0;2;0;1
4;12;Alicún;;181;0;181;147;0;1;34;147;146;26;0;0;0;0;5;44;0;59;5;7;0;0;0;0
4;13;Almería;;143.006;4;143.010;78.947;817;1.016;64.063;78.130;77.114;14.921;208;101;56;433;1.462;19.767;171;17.429;10.220;11.835;202;105;92;112
4;14;Almócita;;153;0;153;106;1;2;47;105;103;6;1;0;0;2;0;8;0;74;11;1;0;0;0;0
4;15;Alsodux;;120;0;120;94;1;0;26;93;93;12;4;0;0;0;0;19;0;42;9;6;0;0;1;0
4;16;Antas;;2.125;0;2.125;1.356;19;8;769;1.337;1.329;263;4;1;1;0;6;358;2;329;108;243;10;1;2;1
4;17;Arboleas;;1.284;0;1.284;742;7;6;542;735;729;126;3;1;1;4;7;197;1;258;38;87;4;1;0;1
4;18;Armuña de Almanzora;;254;0;254;200;9;3;54;191;188;18;2;0;0;0;3;39;0;95;14;17;0;0;0;0
4;19;Bacares;;230;0;230;164;2;0;66;162;162;11;1;0;0;1;0;35;0;87;10;16;1;0;0;0
4;904;Balanegra;;1.876;0;1.876;1.092;10;5;784;1.082;1.077;160;1;2;2;0;13;364;0;164;41;326;0;1;0;3
4;20;Bayárcal;;253;0;253;173;2;1;80;171;170;16;0;0;0;0;0;64;0;62;1;26;1;0;0;0
4;21;Bayarque;;178;0;178;126;1;2;52;125;123;13;0;0;0;0;0;41;0;55;4;9;0;0;0;1
4;22;Bédar;;353;0;353;209;3;2;144;206;204;31;2;0;0;0;0;35;0;91;13;28;2;0;2;0
4;23;Beires;;126;0;126;82;1;3;44;81;78;7;0;0;0;0;2;31;0;23;3;11;0;0;1;0
4;24;Benahadux;;3.208;0;3.208;2.042;38;32;1.166;2.004;1.972;365;3;3;0;8;40;382;2;618;166;368;9;3;3;2
4;26;Benitagla;;59;0;59;42;1;1;17;41;40;7;0;0;0;0;0;20;0;6;2;3;2;0;0;0
4;27;Benizalón;;219;0;219;101;0;0;118;101;101;15;0;0;0;0;3;46;0;21;5;9;2;0;0;0
4;28;Bentarique;;203;0;203;168;4;2;35;164;162;16;0;0;0;0;2;30;0;93;13;6;0;2;0;0
4;29;Berja;;8.752;0;8.752;4.910;77;64;3.842;4.833;4.769;621;8;7;3;5;45;1.336;10;1.603;373;742;3;7;4;2
4;30;Canjáyar;;1.073;0;1.073;692;13;13;381;679;666;64;0;1;1;0;8;200;3;292;33;63;0;0;1;0
4;31;Cantoria;;2.253;0;2.253;1.545;19;8;708;1.526;1.518;153;2;0;0;0;10;329;0;882;72;61;3;1;0;5
4;32;Carboneras;;5.641;2;5.643;3.073;25;29;2.570;3.048;3.019;610;3;3;1;5;29;624;7;1.021;291;395;14;5;7;4
4;33;Castro de Filabres;;116;0;116;81;0;0;35;81;81;12;0;1;0;0;0;11;0;47;2;8;0;0;0;0
4;36;Chercos;;223;0;223;156;1;0;67;155;155;20;1;2;0;0;0;56;1;60;3;12;0;0;0;0
4;37;Chirivel;;1.232;0;1.232;877;21;7;355;856;849;75;2;0;0;1;1;230;0;418;69;46;1;0;2;4
4;34;Cóbdar;;141;0;141;80;0;0;61;80;80;23;0;1;1;0;0;34;0;11;5;5;0;0;0;0
4;35;Cuevas del Almanzora;;8.427;1;8.428;5.089;54;46;3.339;5.035;4.989;631;6;2;7;14;28;1.259;9;2.060;314;632;8;6;11;2
4;38;Dalías;;3.094;0;3.094;1.882;47;23;1.212;1.835;1.812;326;3;2;2;3;16;419;4;527;223;282;1;3;0;1
4;902;El Ejido;;45.256;0;45.256;25.306;310;278;19.950;24.996;24.718;4.044;45;19;11;50;315;6.726;47;3.949;1.942;7.377;92;27;32;42
4;41;Enix;;314;0;314;202;1;1;112;201;200;24;0;0;0;1;3;79;0;56;20;17;0;0;0;0
4;43;Felix;;508;0;508;385;1;2;123;384;382;33;0;0;1;0;0;108;0;135;30;71;1;0;0;3
4;44;Fines;;1.516;0;1.516;1.024;11;11;492;1.013;1.002;128;0;5;0;2;9;407;4;278;85;75;3;3;2;1
4;45;Fiñana;;1.700;0;1.700;1.206;35;12;494;1.171;1.159;112;1;0;1;1;5;173;2;627;67;155;2;6;5;2
4;46;Fondón;;838;0;838;555;5;5;283;550;545;97;1;1;0;3;3;131;0;206;43;58;0;0;2;0
4;47;Gádor;;2.240;0;2.240;1.642;31;15;598;1.611;1.596;142;7;1;1;4;12;639;0;597;69;115;4;3;0;2
4;49;Garrucha;;5.548;0;5.548;3.168;53;23;2.380;3.115;3.092;525;3;1;1;5;31;748;1;1.152;301;310;6;0;2;6
4;50;Gérgal;;756;0;756;427;7;0;329;420;420;45;1;0;0;1;2;87;0;209;31;38;2;1;3;0
4;51;Huécija;;412;0;412;304;5;5;108;299;294;61;2;0;1;0;2;71;0;119;15;21;1;1;0;0
4;52;Huércal de Almería;;12.639;2;12.641;7.016;101;138;5.625;6.915;6.777;1.407;17;19;17;31;140;1.252;7;1.479;932;1.417;25;9;15;10
4;53;Huércal-Overa;;12.469;0;12.469;7.799;135;78;4.670;7.664;7.586;1.398;10;7;3;11;54;3.063;8;2.004;400;579;25;7;5;12
4;54;Íllar;;352;0;352;252;2;6;100;250;244;20;1;0;1;2;3;84;0;100;14;18;1;0;0;0
4;55;Instinción;;368;0;368;292;1;3;76;291;288;21;0;0;0;0;0;78;0;150;26;13;0;0;0;0
4;903;La Mojonera;;4.285;0;4.285;2.508;26;39;1.777;2.482;2.443;315;4;1;3;1;23;959;1;453;122;553;5;0;1;2
4;56;Laroya;;149;0;149;106;0;1;43;106;105;23;0;0;0;0;1;54;0;15;7;5;0;0;0;0
4;901;Las Tres Villas;;484;0;484;307;0;1;177;307;306;34;0;0;0;0;3;71;0;136;24;37;0;0;1;0
4;57;Láujar de Andarax;;1.264;1;1.265;821;17;10;444;804;794;136;1;1;0;1;1;267;0;277;49;58;2;1;0;0
4;58;Líjar;;341;0;341;214;1;1;127;213;212;26;0;0;0;0;1;47;0;104;24;7;0;3;0;0
4;48;Los Gallardos;;1.480;0;1.480;915;22;7;565;893;886;174;1;2;0;0;2;231;1;279;74;114;3;4;0;1
4;59;Lubrín;;1.016;0;1.016;686;16;1;330;670;669;43;0;0;0;1;3;107;0;458;21;33;1;0;0;2
4;60;Lucainena de las Torres;;404;0;404;244;3;6;160;241;235;26;0;0;1;2;1;97;1;70;16;17;3;0;0;1
4;61;Lúcar;;620;0;620;422;8;6;198;414;408;103;1;2;1;1;5;47;0;204;17;25;1;0;1;0
4;62;Macael;;4.439;0;4.439;2.940;38;15;1.499;2.902;2.887;284;2;1;4;1;17;1.063;2;1.154;197;146;8;6;2;0
4;63;María;;1.072;1;1.073;702;8;6;371;694;688;113;0;1;0;1;5;264;0;208;27;63;5;0;0;1
4;64;Mojácar;;2.859;1;2.860;1.652;18;12;1.208;1.634;1.622;257;4;0;2;12;17;522;0;387;204;206;4;1;5;1
4;65;Nacimiento;;350;0;350;243;1;4;107;242;238;17;0;1;0;0;0;53;0;141;9;17;0;0;0;0
4;66;Níjar;;13.447;0;13.447;7.638;46;73;5.809;7.592;7.519;809;15;4;4;19;45;2.133;5;1.994;522;1.940;13;10;4;2
4;67;Ohanes;;518;0;518;338;10;1;180;328;327;27;2;0;1;0;2;82;1;178;24;7;1;1;1;0
4;68;Olula de Castro;;165;0;165;115;1;0;50;114;114;12;0;0;0;0;2;33;0;51;3;13;0;0;0;0
4;69;Olula del Río;;4.752;0;4.752;2.911;55;41;1.841;2.856;2.815;451;4;6;3;9;21;815;3;955;272;254;9;2;5;6
4;70;Oria;;1.532;0;1.532;1.030;10;2;502;1.020;1.018;107;5;0;0;0;11;380;1;364;46;101;1;1;1;0
4;71;Padules;;362;0;362;269;8;2;93;261;259;22;0;0;0;0;1;46;0;152;23;14;1;0;0;0
4;72;Partaloa;;307;0;307;205;1;7;102;204;197;28;1;1;0;0;0;64;0;58;14;29;0;2;0;0
4;73;Paterna del Río;;332;0;332;216;4;2;116;212;210;24;0;0;0;0;2;74;0;82;7;21;0;0;0;0
4;74;Pechina;;2.861;1;2.862;1.584;35;26;1.278;1.549;1.523;191;0;5;2;3;37;351;11;488;184;239;4;6;0;2
4;75;Pulpí;;5.358;0;5.358;3.207;44;16;2.151;3.163;3.147;412;7;2;4;8;25;1.152;3;1.037;183;299;8;3;1;3
4;76;Purchena;;1.222;0;1.222;860;21;5;362;839;834;113;5;0;0;0;5;166;0;437;61;44;0;3;0;0
4;77;Rágol;;281;0;281;248;3;3;33;245;242;7;0;0;1;0;0;152;0;64;7;11;0;0;0;0
4;78;Rioja;;1.089;0;1.089;640;8;6;449;632;626;56;2;1;0;1;9;121;0;228;135;70;1;2;0;0
4;79;Roquetas de Mar;;53.663;1;53.664;29.829;305;370;23.835;29.524;29.154;5.435;71;27;30;126;499;7.484;41;5.108;3.398;6.673;111;46;48;57
4;80;Santa Cruz de Marchena;;203;0;203;135;4;0;68;131;131;17;0;0;0;0;4;49;0;37;14;8;1;0;1;0
4;81;Santa Fe de Mondújar;;347;0;347;248;3;0;99;245;245;26;0;0;0;2;2;34;0;152;10;19;0;0;0;0
4;82;Senés;;270;0;270;165;1;2;105;164;162;13;0;0;0;0;0;73;0;43;19;13;0;1;0;0
4;83;Serón;;1.722;0;1.722;1.139;26;11;583;1.113;1.102;101;0;1;0;4;11;286;1;514;106;73;2;0;2;1
4;84;Sierro;;343;0;343;230;4;3;113;226;223;27;1;0;1;0;0;71;1;91;13;16;1;1;0;0
4;85;Somontín;;375;0;375;245;2;1;130;243;242;19;0;1;0;0;1;100;0;88;12;20;0;1;0;0
4;86;Sorbas;;1.670;0;1.670;1.012;13;7;658;999;992;119;0;1;1;1;5;439;0;273;49;99;2;0;2;1
4;87;Suflí;;161;0;161;104;1;2;57;103;101;12;4;0;0;0;3;21;0;35;10;15;0;1;0;0
4;88;Tabernas;;2.444;1;2.445;1.382;13;17;1.063;1.369;1.352;138;9;4;1;1;18;303;0;570;105;198;2;2;1;0
4;89;Taberno;;691;0;691;456;10;5;235;446;441;35;0;0;0;1;7;193;0;152;26;27;0;0;0;0
4;90;Tahal;;272;0;272;193;4;2;79;189;187;27;0;2;0;0;2;42;0;86;11;16;1;0;0;0
4;91;Terque;;320;0;320;243;2;2;77;241;239;12;0;1;0;0;0;30;1;168;14;11;1;1;0;0
4;92;Tíjola;;2.774;0;2.774;1.850;39;10;924;1.811;1.801;270;2;2;2;5;16;517;1;659;99;217;2;2;3;4
4;93;Turre;;1.904;0;1.904;1.004;18;9;900;986;977;91;2;0;0;2;9;311;1;337;88;131;3;2;0;0
4;94;Turrillas;;209;0;209;137;0;0;72;137;137;9;0;0;0;0;0;81;1;20;0;25;0;0;0;1
4;95;Uleila del Campo;;677;0;677;402;5;5;275;397;392;57;2;0;2;0;2;101;0;126;32;64;4;1;0;1
4;96;Urrácal;;262;0;262;182;1;0;80;181;181;15;0;0;0;0;2;52;0;86;13;12;0;0;0;1
4;97;Velefique;;234;0;234;156;0;2;78;156;154;13;0;0;1;0;2;46;1;61;13;16;1;0;0;0
4;98;Vélez-Blanco;;1.468;0;1.468;850;19;7;618;831;824;171;1;1;1;0;6;174;1;337;53;72;3;1;2;1
4;99;Vélez-Rubio;;4.909;0;4.909;3.096;63;27;1.813;3.033;3.006;594;3;1;8;5;22;901;4;896;220;329;11;2;6;4
4;100;Vera;;9.207;0;9.207;4.490;51;33;4.717;4.439;4.406;823;19;13;7;11;42;1.334;7;1.061;429;616;20;9;10;5
4;101;Viator;;4.315;0;4.315;2.529;53;23;1.786;2.476;2.453;285;0;1;1;7;31;570;2;985;136;427;5;1;1;1
4;102;Vícar;;14.049;0;14.049;7.750;131;94;6.299;7.619;7.525;1.019;9;9;6;4;96;1.969;3;2.010;508;1.850;19;6;9;8
4;103;Zurgena;;1.404;0;1.404;889;7;9;515;882;873;111;1;0;5;0;2;259;0;364;28;101;2;0;0;0
4;990;Residentes Ausentes Almería;;41.116;0;41.116;759;14;6;40.357;745;739;126;2;6;3;25;32;110;6;228;150;37;2;8;0;4
Total;;;;497.982;16;497.998;262.970;3.349;2.967;235.028;259.621;256.654;42.432;545;295;224;876;3.495;70.598;395;67.309;25.160;43.516;798;345;318;348
