Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;EB;ADELANTE ANDALUCÍA;PACMA;PP;VOX;PSOE-A;AxSÍ;FE de las JONS;NA;UPYD;PCPA;EQUO-INICIATIVA;ALTER;RECORTES CERO - M+J - GV
11;1;Alcalá de los Gazules;;4.375;0;4.375;2.388;78;35;1.987;2.310;2.275;324;11;264;8;345;245;1.042;10;3;4;1;3;7;0;8
11;2;Alcalá del Valle;;4.220;0;4.220;2.694;46;27;1.526;2.648;2.621;96;1;1.249;10;122;36;1.085;7;0;2;0;11;0;0;2
11;3;Algar;;1.237;0;1.237;721;25;16;516;696;680;106;0;42;4;181;76;265;3;0;1;2;0;0;0;0
11;4;Algeciras;;89.444;0;89.444;45.337;756;753;44.107;44.581;43.828;9.834;100;6.191;1.064;7.877;8.689;8.872;518;39;103;87;82;199;66;107
11;5;Algodonales;;4.508;0;4.508;2.598;97;32;1.910;2.501;2.469;316;3;392;12;405;130;1.165;12;6;5;4;5;5;0;9
11;6;Arcos de la Frontera;;24.466;0;24.466;12.843;225;236;11.623;12.618;12.382;2.495;42;1.565;170;2.361;1.286;4.165;189;6;27;11;14;30;11;10
11;7;Barbate;;17.972;0;17.972;8.561;135;174;9.411;8.426;8.252;1.430;21;1.311;139;1.447;572;1.786;1.420;6;41;9;22;22;10;16
11;901;Benalup-Casas Viejas;;5.664;0;5.664;3.198;70;93;2.466;3.128;3.035;506;4;482;42;531;195;1.206;29;0;10;7;8;10;3;2
11;9;Benaocaz;;566;0;566;350;6;2;216;344;342;44;1;39;1;114;24;116;0;0;2;0;1;0;0;0
11;10;Bornos;;6.348;0;6.348;3.407;71;106;2.941;3.336;3.230;557;5;822;33;459;256;1.032;26;1;11;2;12;4;4;6
11;12;Cádiz;;97.808;24;97.832;58.257;775;808;39.575;57.482;56.674;11.316;160;17.402;1.734;10.066;4.064;10.392;441;56;223;114;93;329;65;219
11;13;Castellar de la Frontera;;2.319;0;2.319;1.426;60;29;893;1.366;1.337;269;2;199;21;233;105;492;5;0;3;0;0;5;1;2
11;15;Chiclana de la Frontera;;63.731;0;63.731;31.997;410;658;31.734;31.587;30.929;7.305;118;5.377;818;5.624;3.833;7.182;241;21;75;58;51;113;35;78
11;16;Chipiona;;14.990;0;14.990;8.031;148;163;6.959;7.883;7.720;1.802;10;1.225;168;1.560;814;1.990;48;6;10;8;25;23;12;19
11;14;Conil de la Frontera;;17.062;1;17.063;9.146;122;251;7.917;9.024;8.773;2.036;19;2.236;122;1.752;530;1.733;172;10;46;18;30;37;15;17
11;11;El Bosque;;1.739;0;1.739;988;52;8;751;936;928;153;2;146;11;168;119;290;27;3;4;0;1;2;1;1
11;18;El Gastor;;1.430;0;1.430;914;22;10;516;892;882;90;0;55;8;272;92;351;7;0;1;2;1;3;0;0
11;27;El Puerto de Santa María;;68.546;0;68.546;38.003;446;535;30.543;37.557;37.022;7.971;101;7.200;844;7.178;5.337;6.915;890;21;87;86;78;172;51;91
11;17;Espera;;3.199;0;3.199;1.771;81;50;1.428;1.690;1.640;218;5;311;15;302;81;683;8;1;8;1;2;3;0;2
11;19;Grazalema;;1.751;0;1.751;1.184;70;9;567;1.114;1.105;138;1;137;13;287;112;385;12;2;4;3;2;3;1;5
11;20;Jerez de la Frontera;;165.845;2;165.847;90.127;1.405;1.617;75.720;88.722;87.105;20.859;223;15.481;2.102;16.008;10.543;19.905;735;51;181;172;180;367;93;205
11;21;Jimena de la Frontera;;6.718;0;6.718;3.708;115;95;3.010;3.593;3.498;660;10;648;29;634;233;1.234;13;0;6;9;7;9;1;5
