Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;EB;Cs;PACMA;ADELANTE ANDALUCÍA;PSOE-A;AxSÍ;PP;PCPA;FE de las JONS;EQUO-INICIATIVA;VOX;UPYD;PCTE;P.C.O.E.;RECORTES CERO - M+J - GV
14;1;Adamuz;;3.448;0;3.448;2.320;60;28;1.128;2.260;2.232;4;267;16;279;950;0;581;6;1;4;108;0;0;15;1
14;2;Aguilar de la Frontera;;10.876;0;10.876;6.744;203;100;4.132;6.541;6.441;21;803;62;1.173;2.970;14;952;106;4;8;304;4;0;13;7
14;3;Alcaracejos;;1.254;0;1.254;873;26;2;381;847;845;0;116;6;55;392;4;229;0;2;1;37;1;0;1;1
14;4;Almedinilla;;1.993;0;1.993;1.271;23;13;722;1.248;1.235;5;176;15;91;489;2;364;1;2;4;79;3;0;3;1
14;5;Almodóvar del Río;;6.323;0;6.323;3.307;93;66;3.016;3.214;3.148;7;404;53;983;938;27;443;16;7;11;235;4;0;15;5
14;6;Añora;;1.314;0;1.314;1.026;35;6;288;991;985;1;106;3;104;320;4;410;1;0;1;33;1;0;0;1
14;7;Baena;;15.032;1;15.033;9.042;277;120;5.991;8.765;8.645;22;1.656;69;1.201;3.124;20;1.781;10;5;30;681;13;0;15;18
14;8;Belalcázar;;2.781;0;2.781;1.608;31;19;1.173;1.577;1.558;0;196;9;135;731;2;368;2;0;0;109;3;0;0;3
14;9;Belmez;;2.661;0;2.661;1.428;23;22;1.233;1.405;1.383;1;227;3;204;522;2;338;0;1;2;74;4;0;3;2
14;10;Benamejí;;4.016;0;4.016;2.481;59;27;1.535;2.422;2.395;6;266;33;231;1.144;4;600;1;0;0;100;2;0;5;3
14;12;Bujalance;;6.109;0;6.109;3.602;119;47;2.507;3.483;3.436;5;325;42;611;1.489;19;773;4;3;7;146;2;0;3;7
14;13;Cabra;;16.644;0;16.644;10.564;408;211;6.080;10.156;9.945;15;1.611;187;1.165;2.966;92;2.857;19;41;41;893;12;0;26;20
14;14;Cañete de las Torres;;2.507;0;2.507;1.847;38;15;660;1.809;1.794;8;201;20;265;815;11;370;10;1;3;76;4;0;10;0
14;15;Carcabuey;;2.066;0;2.066;1.327;35;10;739;1.292;1.282;5;191;6;243;413;6;342;3;0;0;66;2;0;3;2
14;16;Cardeña;;1.286;0;1.286;815;9;4;471;806;802;3;59;3;106;374;2;206;2;0;5;41;1;0;0;0
14;19;Castro del Río;;6.423;0;6.423;4.289;109;88;2.134;4.180;4.092;14;552;55;1.043;1.524;10;643;6;3;10;201;8;0;16;7
14;20;Conquista;;354;0;354;194;2;2;160;192;190;0;17;0;15;113;0;31;1;0;0;11;2;0;0;0
14;21;Córdoba;;258.824;2;258.826;157.964;2.503;2.842;100.862;155.478;152.636;612;32.032;3.272;27.907;30.863;515;35.896;300;124;906;19.195;305;0;378;331
14;22;Doña Mencía;;3.925;0;3.925;2.554;52;26;1.371;2.502;2.476;2;211;19;921;903;10;304;14;2;5;70;1;0;14;0
14;23;Dos Torres;;2.012;0;2.012;1.555;39;15;457;1.516;1.501;1;161;9;69;538;4;628;0;1;1;85;1;0;1;2
14;18;El Carpio;;3.649;0;3.649;2.344;71;37;1.305;2.273;2.236;5;335;19;432;718;6;478;1;2;2;228;6;0;3;1
14;34;El Guijo;;305;0;305;226;8;2;79;218;216;0;33;2;13;66;2;86;1;3;0;10;0;0;0;0
14;74;El Viso;;2.239;0;2.239;1.584;49;11;655;1.535;1.524;4;179;10;156;743;3;350;2;0;0;75;1;0;1;0
