Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;RISA;Cs;PP;ADELANTE ANDALUCÍA;EQUO-INICIATIVA;PSOE-A;NA;PACMA;CILU-LINARES;VOX;AxSÍ;PCPA;Respeto;UPYD;CILUS;FE de las JONS;RECORTES CERO - M+J - GV
23;1;Albanchez de Mágina;;909;0;909;693;5;0;216;688;688;0;138;141;45;0;327;0;1;0;27;0;5;1;0;3;0;0
23;2;Alcalá la Real;;17.353;2;17.355;11.409;435;151;5.946;10.974;10.823;10;2.151;2.433;936;16;4.123;13;135;32;822;28;15;25;14;58;5;7
23;3;Alcaudete;;8.599;0;8.599;5.481;96;45;3.118;5.385;5.340;4;721;1.363;271;5;2.450;4;52;14;414;7;7;13;1;4;5;5
23;4;Aldeaquemada;;420;0;420;298;4;3;122;294;291;0;109;52;17;0;91;0;2;1;18;0;0;0;0;1;0;0
23;5;Andújar;;29.959;1;29.960;17.649;402;280;12.311;17.247;16.967;18;2.910;4.444;1.740;22;5.267;14;265;38;1.903;187;25;38;16;45;7;28
23;6;Arjona;;4.596;0;4.596;3.347;96;43;1.249;3.251;3.208;3;438;531;186;1;1.925;0;24;1;77;3;1;7;2;8;0;1
23;7;Arjonilla;;3.028;0;3.028;2.015;26;25;1.013;1.989;1.964;1;367;409;134;1;923;3;16;4;76;9;6;4;1;5;3;2
23;8;Arquillos;;1.449;0;1.449;931;32;13;518;899;886;0;91;126;106;1;460;0;4;2;81;5;6;2;0;1;0;1
23;905;Arroyo del Ojanco;;1.824;0;1.824;1.091;10;5;733;1.081;1.076;2;159;286;48;4;432;3;9;4;106;5;3;9;0;4;2;0
23;9;Baeza;;12.854;3;12.857;8.623;186;99;4.234;8.437;8.338;3;1.379;2.296;750;11;2.731;3;68;8;1.021;9;8;20;8;13;5;5
23;10;Bailén;;14.238;0;14.238;8.216;209;131;6.022;8.007;7.876;5;1.375;2.027;763;45;2.576;9;84;24;857;23;8;28;8;32;6;6
23;11;Baños de la Encina;;2.141;0;2.141;1.291;48;17;850;1.243;1.226;2;155;162;220;0;578;3;9;3;69;2;12;6;0;5;0;0
23;12;Beas de Segura;;4.052;0;4.052;2.409;36;28;1.643;2.373;2.345;0;313;518;169;3;970;1;9;5;328;3;2;12;1;5;1;5
23;902;Bedmar y Garcíez;;2.228;0;2.228;1.681;39;12;547;1.642;1.630;2;99;242;87;3;1.116;2;11;0;51;2;4;8;0;2;1;0
23;14;Begíjar;;2.567;0;2.567;1.708;32;18;859;1.676;1.658;1;223;434;273;1;615;0;11;3;78;3;7;3;0;4;2;0
23;15;Bélmez de la Moraleda;;1.328;0;1.328;875;16;9;453;859;850;0;118;204;60;0;436;1;1;3;22;0;2;1;1;0;1;0
23;16;Benatae;;386;0;386;279;14;0;107;265;265;0;23;60;30;0;146;0;0;0;4;0;2;0;0;0;0;0
23;17;Cabra del Santo Cristo;;1.484;0;1.484;1.081;29;7;403;1.052;1.045;0;72;271;87;1;589;2;2;4;11;2;1;2;1;0;0;0
23;18;Cambil;;2.254;0;2.254;1.376;20;20;878;1.356;1.336;2;137;154;220;0;713;0;17;4;63;1;5;12;3;3;2;0
23;19;Campillo de Arenas;;1.473;0;1.473;1.066;45;5;407;1.021;1.016;0;115;205;192;1;433;0;2;5;53;1;0;1;6;2;0;0
23;20;Canena;;1.539;0;1.539;1.214;21;4;325;1.193;1.189;1;131;235;360;2;394;0;7;2;45;1;2;6;2;1;0;0
23;21;Carboneros;;514;0;514;378;11;0;136;367;367;1;29;76;22;0;215;0;0;1;19;0;3;0;1;0;0;0
23;901;Cárcheles;;1.138;0;1.138;829;14;9;309;815;806;0;167;155;45;0;392;0;1;2;36;1;0;3;1;2;1;0
23;25;Castellar;;2.743;0;2.743;1.744;26;17;999;1.718;1.701;0;234;455;114;1;726;0;15;37;108;0;1;3;0;6;1;0
23;26;Castillo de Locubín;;3.441;0;3.441;2.248;79;16;1.193;2.169;2.153;1;224;683;85;0;1.011;0;12;1;122;1;2;5;0;4;1;1
23;27;Cazalilla;;726;0;726;529;4;6;197;525;519;0;56;111;12;0;299;0;0;0;32;1;0;5;0;2;0;1
23;28;Cazorla;;6.140;0;6.140;3.855;79;37;2.285;3.776;3.739;6;595;879;469;10;1.467;3;45;8;208;4;10;8;3;13;2;9
23;29;Chiclana de Segura;;803;0;803;502;9;1;301;493;492;0;18;192;13;0;245;0;2;0;22;0;0;0;0;0;0;0
23;30;Chilluévar;;1.196;0;1.196;889;22;3;307;867;864;3;65;178;29;3;561;0;1;1;19;0;1;1;0;2;0;0
23;31;Escañuela;;763;0;763;612;40;6;151;572;566;0;56;50;84;0;342;1;8;0;19;1;1;2;0;1;1;0
23;32;Espeluy;;522;0;522;371;14;3;151;357;354;0;19;45;49;0;216;0;4;0;16;0;0;5;0;0;0;0
23;33;Frailes;;1.319;0;1.319;909;24;20;410;885;865;2;136;263;31;1;345;0;11;2;61;1;0;2;2;6;2;0
23;34;Fuensanta de Martos;;2.504;1;2.505;1.699;39;12;806;1.660;1.648;1;178;344;64;0;902;0;4;1;131;1;1;13;1;5;0;2
23;35;Fuerte del Rey;;1.102;0;1.102;776;13;4;326;763;759;0;109;218;53;0;329;2;11;1;29;2;1;3;0;1;0;0
23;37;Génave;;516;0;516;390;12;5;126;378;373;1;18;77;31;0;213;0;7;2;19;1;3;0;0;1;0;0
23;39;Guarromán;;2.154;0;2.154;1.357;49;9;797;1.308;1.299;0;109;478;114;2;527;3;10;1;45;7;0;0;1;2;0;0
23;41;Higuera de Calatrava;;493;0;493;350;3;2;143;347;345;0;51;89;20;2;124;0;1;1;48;5;0;3;0;0;0;1
23;42;Hinojares;;281;0;281;196;2;2;85;194;192;0;22;72;10;0;74;0;2;0;12;0;0;0;0;0;0;0
23;43;Hornos;;522;0;522;347;3;0;175;344;344;0;30;108;17;0;142;0;2;1;40;0;0;0;1;2;0;1
23;44;Huelma;;4.713;1;4.714;3.175;95;25;1.539;3.080;3.055;4;444;721;628;5;1.043;3;45;3;112;5;15;14;0;5;5;3
23;45;Huesa;;2.067;0;2.067;1.323;17;4;744;1.306;1.302;0;88;238;342;0;545;1;4;0;73;3;7;0;0;0;0;1
23;46;Ibros;;2.335;0;2.335;1.742;35;8;593;1.707;1.699;4;163;293;183;1;919;1;11;1;105;4;4;2;1;3;1;3
23;48;Iznatoraf;;823;0;823;550;5;2;273;545;543;0;49;198;37;0;156;0;2;0;94;1;1;1;0;2;1;1
