Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;VOX;NA;PACMA;FE de las JONS;ADELANTE ANDALUCÍA;AxSÍ;PSOE-A;PP;EQUO-INICIATIVA;ConecAnd;PCPA;UPYD;ALTER;CILUS;IZAR;SOLUCIONA;RECORTES CERO - M+J - GV
29;1;Alameda;;4.194;0;4.194;2.585;64;49;1.609;2.521;2.472;216;77;1;32;0;792;2;966;373;0;0;5;3;1;0;0;1;3
29;2;Alcaucín;;1.148;0;1.148;692;17;9;456;675;666;93;52;3;9;0;67;7;279;152;0;1;0;1;0;2;0;0;0
29;3;Alfarnate;;937;0;937;638;27;6;299;611;605;68;44;0;2;0;88;1;276;119;1;0;2;1;0;2;0;0;1
29;4;Alfarnatejo;;296;0;296;191;5;2;105;186;184;14;10;0;0;0;19;0;84;55;0;0;1;0;0;0;1;0;0
29;5;Algarrobo;;4.488;0;4.488;2.632;32;36;1.856;2.600;2.564;408;380;3;41;1;204;16;693;785;11;1;5;1;2;4;3;1;5
29;6;Algatocín;;668;0;668;391;6;5;277;385;380;46;42;0;4;1;25;2;131;127;0;0;1;1;0;0;0;0;0
29;7;Alhaurín de la Torre;;28.415;0;28.415;16.776;241;255;11.639;16.535;16.280;3.890;2.242;11;474;10;2.519;30;3.070;3.702;150;17;21;38;9;41;7;10;39
29;8;Alhaurín el Grande;;15.022;2;15.024;8.806;134;128;6.218;8.672;8.544;1.370;1.338;6;145;5;809;19;1.945;2.813;18;4;1;6;7;37;3;4;14
29;9;Almáchar;;1.430;0;1.430;924;32;9;506;892;883;86;11;0;10;0;257;2;394;111;4;1;0;2;0;2;1;0;2
29;10;Almargen;;1.615;0;1.615;1.139;78;13;476;1.061;1.048;106;54;0;13;0;178;0;459;225;0;1;4;5;1;2;0;0;0
29;11;Almogía;;2.857;0;2.857;1.450;23;10;1.407;1.427;1.417;189;121;3;22;2;133;6;670;247;3;0;0;1;1;13;0;3;3
29;12;Álora;;9.722;0;9.722;5.859;167;81;3.863;5.692;5.611;768;392;6;100;3;868;12;2.027;1.363;11;7;4;13;14;12;4;3;4
29;13;Alozaina;;1.590;0;1.590;1.088;33;14;502;1.055;1.041;114;52;0;11;0;226;3;421;202;2;0;1;0;1;6;0;1;1
