Codcir;Codmun;Municipio;;Censo;Certif. Alta;Censo Total;Votos Totales;Votos Nulos;Votos Blancos;Abstención;Votos Válidos;Votos Candidaturas;Cs;ADELANTE ANDALUCÍA;PACMA;AxSÍ;NA;EQUO-INICIATIVA;PSOE-A;ALTER;PP;P.C.O.E.;UPYD;VOX;FE de las JONS;PCPA;RECORTES CERO - M+J - GV
41;1;Aguadulce;;1.567;0;1.567;1.023;33;15;544;990;975;113;213;11;0;3;0;416;0;180;2;1;36;0;0;0
41;2;Alanís;;1.432;0;1.432;823;29;8;609;794;786;126;79;6;7;1;4;325;0;183;1;1;49;1;1;2
41;3;Albaida del Aljarafe;;2.359;0;2.359;1.522;43;26;837;1.479;1.453;156;150;24;2;1;8;584;1;404;5;2;109;1;3;3
41;4;Alcalá de Guadaíra;;57.340;2;57.342;32.364;918;742;24.978;31.446;30.704;5.921;5.861;988;670;86;172;8.680;33;4.505;92;123;3.397;40;50;86
41;5;Alcalá del Río;;9.218;0;9.218;5.691;144;76;3.527;5.547;5.471;903;1.089;110;38;3;42;1.903;9;852;13;11;478;4;13;3
41;6;Alcolea del Río;;2.730;0;2.730;1.465;47;13;1.265;1.418;1.405;168;177;8;1;7;1;711;1;261;0;2;67;0;0;1
41;8;Algámitas;;1.027;0;1.027;679;33;12;348;646;634;74;85;4;2;0;1;372;0;68;2;2;23;0;0;1
41;9;Almadén de la Plata;;1.158;0;1.158;682;11;5;476;671;666;145;51;4;2;1;1;297;0;131;3;2;28;1;0;0
41;10;Almensilla;;4.538;0;4.538;2.591;113;42;1.947;2.478;2.436;422;620;66;19;2;10;658;5;332;11;12;268;2;7;2
41;11;Arahal;;15.398;0;15.398;8.902;403;232;6.496;8.499;8.267;1.091;1.986;80;45;19;26;3.464;7;999;32;9;478;7;7;17
41;12;Aznalcázar;;3.344;0;3.344;1.777;67;23;1.567;1.710;1.687;197;211;45;7;1;6;707;1;274;1;1;185;47;2;2
41;13;Aznalcóllar;;4.813;0;4.813;2.509;81;44;2.304;2.428;2.384;153;671;13;8;2;1;1.182;1;228;6;4;107;3;4;1
41;14;Badolatosa;;2.477;0;2.477;1.632;62;16;845;1.570;1.554;119;722;8;2;3;1;558;2;88;6;0;41;1;3;0
41;15;Benacazón;;5.380;0;5.380;3.044;123;58;2.336;2.921;2.863;542;355;32;20;5;7;1.068;1;429;7;2;378;1;2;14
41;16;Bollullos de la Mitación;;7.695;0;7.695;4.718;117;74;2.977;4.601;4.527;881;896;100;21;9;21;1.184;3;770;10;32;585;7;4;4
41;17;Bormujos;;15.632;0;15.632;9.617;206;169;6.015;9.411;9.242;2.123;1.593;240;35;9;42;2.118;7;1.763;12;17;1.250;4;11;18
41;18;Brenes;;9.398;0;9.398;5.454;130;84;3.944;5.324;5.240;683;1.262;91;24;9;13;2.276;4;517;30;8;298;4;15;6
41;19;Burguillos;;4.833;0;4.833;2.741;75;35;2.092;2.666;2.631;386;430;58;8;2;6;847;1;521;9;4;348;3;5;3
41;21;Camas;;21.350;0;21.350;12.135;336;253;9.215;11.799;11.546;1.908;2.511;297;49;24;43;4.016;50;1.392;41;29;1.118;8;29;31
41;23;Cantillana;;7.980;1;7.981;4.744;110;78;3.237;4.634;4.556;648;646;57;12;4;7;1.832;2;997;12;1;318;4;5;11
41;901;Cañada Rosal;;2.695;0;2.695;1.846;117;64;849;1.729;1.665;219;275;11;2;2;8;1.009;0;85;3;1;48;1;1;0
41;24;Carmona;;22.652;0;22.652;12.189;331;210;10.463;11.858;11.648;1.843;1.662;199;48;18;56;4.276;6;2.210;35;7;1.256;3;19;10
41;25;Carrión de los Céspedes;;1.993;0;1.993;1.264;58;16;729;1.206;1.190;124;172;19;2;2;2;381;5;335;4;0;135;2;6;1
41;26;Casariche;;4.302;0;4.302;3.142;112;23;1.160;3.030;3.007;240;1.338;11;3;2;5;1.094;2;182;9;2;110;1;7;1
41;27;Castilblanco de los Arroyos;;3.912;0;3.912;2.245;85;28;1.667;2.160;2.132;328;499;28;0;4;7;706;1;326;2;5;223;0;2;1
41;28;Castilleja de Guzmán;;2.060;0;2.060;1.471;22;22;589;1.449;1.427;321;322;49;6;2;6;374;2;167;5;6;161;0;2;4
41;29;Castilleja de la Cuesta;;13.393;4;13.397;8.381;174;122;5.016;8.207;8.085;1.488;1.400;210;40;13;45;2.630;12;1.281;32;15;880;2;10;27
41;30;Castilleja del Campo;;490;0;490;358;20;4;132;338;334;30;48;13;1;1;1;145;1;48;0;0;46;0;0;0
41;32;Cazalla de la Sierra;;3.875;0;3.875;2.416;87;27;1.459;2.329;2.302;389;312;18;8;4;4;1.041;2;367;1;3;139;3;8;3
41;33;Constantina;;4.958;0;4.958;2.873;77;29;2.085;2.796;2.767;475;217;16;68;1;2;1.212;2;461;11;0;299;0;2;1
41;34;Coria del Río;;23.355;0;23.355;12.457;307;270;10.898;12.150;11.880;1.936;2.105;274;614;14;30;4.040;10;1.440;56;24;1.284;11;15;27
41;35;Coripe;;1.065;0;1.065;679;22;19;386;657;638;90;56;8;1;0;0;257;0;168;4;1;51;0;2;0
41;38;Dos Hermanas;;101.729;0;101.729;58.518;1.230;1.170;43.211;57.288;56.118;11.704;11.972;1.708;292;121;373;15.815;49;6.792;160;155;6.605;63;101;208
41;39;Écija;;31.517;0;31.517;19.133;439;315;12.384;18.694;18.379;3.931;2.364;310;199;38;40;5.500;8;3.598;35;17;2.286;8;18;27
41;31;El Castillo de las Guardas;;1.204;0;1.204;631;25;8;573;606;598;60;65;10;4;2;1;333;0;80;4;3;30;0;1;5
41;36;El Coronil;;3.927;0;3.927;2.181;102;51;1.746;2.079;2.028;197;717;33;6;5;4;808;2;186;6;4;55;0;2;3
41;903;El Cuervo de Sevilla;;6.740;0;6.740;3.884;120;65;2.856;3.764;3.699;708;510;97;16;8;3;1.352;3;679;10;1;294;1;5;12
41;43;El Garrobo;;666;0;666;373;18;3;293;355;352;55;53;1;2;0;0;171;0;38;0;0;31;0;0;1
41;57;El Madroño;;252;0;252;150;2;2;102;148;146;13;24;1;0;1;1;66;0;36;0;1;3;0;0;0
41;73;El Pedroso;;1.683;0;1.683;921;35;7;762;886;879;102;114;8;3;2;1;404;1;162;5;0;72;1;4;0
41;80;El Real de la Jara;;1.236;0;1.236;771;24;10;465;747;737;101;85;3;9;2;1;339;0;139;4;0;52;0;1;1
41;83;El Ronquillo;;1.111;0;1.111;696;11;7;415;685;678;54;126;7;0;0;1;324;1;102;2;0;61;0;0;0
41;84;El Rubio;;2.810;0;2.810;1.941;125;17;869;1.816;1.799;198;250;9;5;5;2;902;1;327;1;4;88;4;1;2
41;90;El Saucejo;;3.503;0;3.503;2.307;100;22;1.196;2.207;2.185;252;470;19;7;4;3;835;2;433;4;1;149;3;0;3
41;102;El Viso del Alcor;;14.693;0;14.693;8.950;383;210;5.743;8.567;8.357;1.366;1.512;138;65;11;36;3.029;5;1.203;22;13;924;4;19;10
41;40;Espartinas;;11.078;0;11.078;7.107;134;115;3.971;6.973;6.858;1.356;1.143;184;15;14;49;1.301;5;1.509;4;24;1.223;8;4;19
41;41;Estepa;;9.729;0;9.729;6.496;302;77;3.233;6.194;6.117;1.001;811;82;145;1;20;2.117;3;1.223;11;6;680;4;4;9
41;42;Fuentes de Andalucía;;5.836;0;5.836;3.797;80;85;2.039;3.717;3.632;424;1.098;34;24;6;4;1.352;1;487;15;7;167;2;6;5
41;44;Gelves;;7.616;0;7.616;4.770;87;70;2.846;4.683;4.613;983;818;99;21;4;32;1.282;3;748;5;11;591;2;4;10
41;45;Gerena;;5.845;0;5.845;3.308;132;69;2.537;3.176;3.107;450;883;60;12;3;10;1.069;1;332;5;3;262;1;9;7
41;46;Gilena;;3.006;0;3.006;1.995;64;19;1.011;1.931;1.912;239;583;45;14;1;4;763;1;186;4;1;68;0;3;0
41;47;Gines;;10.380;0;10.380;6.860;135;106;3.520;6.725;6.619;1.483;1.203;150;19;8;29;1.649;5;1.222;9;12;816;3;4;7
41;48;Guadalcanal;;2.182;0;2.182;1.212;71;23;970;1.141;1.118;132;100;11;4;2;4;563;3;192;3;2;99;0;2;1
41;49;Guillena;;9.455;0;9.455;6.195;226;111;3.260;5.969;5.858;761;1.542;56;18;6;24;2.243;3;671;8;5;498;5;11;7
41;50;Herrera;;5.177;0;5.177;3.532;108;50;1.645;3.424;3.374;383;462;38;104;7;48;1.117;1;938;8;6;248;4;5;5
41;51;Huévar del Aljarafe;;2.278;0;2.278;1.395;47;4;883;1.348;1.344;113;185;26;1;0;1;511;2;381;3;3;117;1;0;0
41;902;Isla Mayor;;4.604;0;4.604;2.159;43;44;2.445;2.116;2.072;279;266;30;17;4;1;955;0;326;18;1;166;1;6;2
41;7;La Algaba;;12.361;0;12.361;6.698;320;127;5.663;6.378;6.251;868;1.459;100;27;7;22;2.493;8;641;22;3;572;5;14;10
41;22;La Campana;;4.244;0;4.244;2.286;61;43;1.958;2.225;2.182;319;592;20;6;1;1;899;2;242;5;3;84;0;7;1
41;56;La Luisiana;;3.700;0;3.700;2.549;79;53;1.151;2.470;2.417;492;478;38;8;0;7;1.043;1;195;7;1;138;1;6;2
41;77;La Puebla de Cazalla;;8.607;0;8.607;4.919;184;61;3.688;4.735;4.674;779;1.086;45;19;6;3;1.769;1;635;5;5;293;3;12;13
41;78;La Puebla de los Infantes;;2.445;0;2.445;1.550;45;19;895;1.505;1.486;151;323;3;2;2;1;670;0;229;4;1;90;0;7;3
41;79;La Puebla del Río;;9.251;5;9.256;5.714;149;125;3.542;5.565;5.440;973;856;112;62;2;20;2.183;4;518;18;11;661;1;5;14
41;81;La Rinconada;;29.636;0;29.636;17.839;466;365;11.797;17.373;17.008;2.699;3.931;446;47;22;69;6.903;13;1.481;52;63;1.200;17;31;34
41;82;La Roda de Andalucía;;3.374;0;3.374;2.408;78;26;966;2.330;2.304;334;400;22;11;3;3;1.042;0;336;1;0;146;0;5;1
41;52;Lantejuela;;3.022;0;3.022;1.722;99;11;1.300;1.623;1.612;284;344;33;11;5;1;653;0;196;5;2;74;0;4;0
41;20;Las Cabezas de San Juan;;12.926;0;12.926;6.474;165;131;6.452;6.309;6.178;934;887;60;29;6;6;2.895;4;929;27;3;368;7;11;12
41;66;Las Navas de la Concepción;;1.306;0;1.306;826;40;15;480;786;771;92;144;7;9;0;1;401;1;94;2;0;15;1;2;2
41;53;Lebrija;;21.492;0;21.492;13.462;477;233;8.030;12.985;12.752;2.432;2.105;199;116;28;158;4.444;56;1.926;45;60;1.114;10;22;37
41;54;Lora de Estepa;;714;0;714;501;17;3;213;484;481;62;74;6;1;1;1;222;0;81;0;0;29;2;0;2
41;55;Lora del Río;;14.834;0;14.834;8.392;194;118;6.442;8.198;8.080;1.069;1.253;108;45;9;14;2.908;1;1.784;27;6;823;14;10;9
41;37;Los Corrales;;3.205;0;3.205;2.064;87;27;1.141;1.977;1.950;163;718;20;3;2;1;786;0;188;1;2;58;1;6;1
41;63;Los Molares;;2.692;0;2.692;1.516;58;38;1.176;1.458;1.420;206;295;21;0;2;6;605;1;155;3;2;119;0;3;2
41;69;Los Palacios y Villafranca;;29.481;0;29.481;17.399;464;503;12.082;16.935;16.432;3.260;3.268;305;131;50;47;4.081;23;3.127;80;51;1.873;22;64;50
41;58;Mairena del Alcor;;17.814;0;17.814;10.886;411;189;6.928;10.475;10.286;1.741;1.658;214;231;10;38;3.021;8;2.253;44;16;1.005;7;23;17
41;59;Mairena del Aljarafe;;34.999;0;34.999;22.694;437;397;12.305;22.257;21.860;4.898;4.804;641;106;30;182;5.358;70;3.048;53;61;2.523;15;29;42
41;60;Marchena;;15.080;3;15.083;8.806;257;152;6.277;8.549;8.397;1.531;1.283;117;52;13;24;2.754;16;1.606;134;48;789;6;9;15
41;61;Marinaleda;;2.152;0;2.152;1.493;49;5;659;1.444;1.439;74;992;8;9;1;1;207;1;100;0;1;44;0;0;1
41;62;Martín de la Jara;;2.182;0;2.182;1.434;53;13;748;1.381;1.368;84;697;5;3;2;1;484;2;63;2;1;24;0;0;0
41;64;Montellano;;5.596;0;5.596;2.924;107;53;2.672;2.817;2.764;555;314;26;11;6;7;1.325;2;356;7;6;143;3;2;1
41;65;Morón de la Frontera;;22.534;4;22.538;12.164;265;256;10.374;11.899;11.643;1.941;2.838;180;57;13;21;4.082;98;1.424;29;19;892;4;25;20
