Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
4,1,Abla,1.012,634,12,5
4,2,Abrucena,1.023,649,8,5
4,3,Adra,17.491,9.649,145,94
4,4,Albánchez,402,287,7,5
4,5,Alboloduy,529,365,6,0
4,6,Albox,7.192,3.973,47,35
4,7,Alcolea,724,455,6,2
4,8,Alcóntar,468,335,4,0
4,9,Alcudia de Monteagud,139,99,5,0
4,10,Alhabia,552,379,9,8
4,11,Alhama de Almería,2.757,1.895,36,22
4,12,Alicún,181,147,0,1
4,13,Almería,143.010,78.947,817,1.016
4,14,Almócita,153,106,1,2
4,15,Alsodux,120,94,1,0
4,16,Antas,2.125,1.356,19,8
4,17,Arboleas,1.284,742,7,6
4,18,Armuña de Almanzora,254,200,9,3
4,19,Bacares,230,164,2,0
4,904,Balanegra,1.876,1.092,10,5
4,20,Bayárcal,253,173,2,1
4,21,Bayarque,178,126,1,2
4,22,Bédar,353,209,3,2
4,23,Beires,126,82,1,3
4,24,Benahadux,3.208,2.042,38,32
4,26,Benitagla,59,42,1,1
4,27,Benizalón,219,101,0,0
4,28,Bentarique,203,168,4,2
4,29,Berja,8.752,4.910,77,64
4,30,Canjáyar,1.073,692,13,13
4,31,Cantoria,2.253,1.545,19,8
4,32,Carboneras,5.643,3.073,25,29
4,33,Castro de Filabres,116,81,0,0
4,36,Chercos,223,156,1,0
4,37,Chirivel,1.232,877,21,7
4,34,Cóbdar,141,80,0,0
4,35,Cuevas del Almanzora,8.428,5.089,54,46
4,38,Dalías,3.094,1.882,47,23
4,902,El Ejido,45.256,25.306,310,278
4,41,Enix,314,202,1,1
4,43,Felix,508,385,1,2
4,44,Fines,1.516,1.024,11,11
4,45,Fiñana,1.700,1.206,35,12
4,46,Fondón,838,555,5,5
4,47,Gádor,2.240,1.642,31,15
4,49,Garrucha,5.548,3.168,53,23
4,50,Gérgal,756,427,7,0
4,51,Huécija,412,304,5,5
4,52,Huércal de Almería,12.641,7.016,101,138
4,53,Huércal-Overa,12.469,7.799,135,78
4,54,Íllar,352,252,2,6
4,55,Instinción,368,292,1,3
4,903,La Mojonera,4.285,2.508,26,39
4,56,Laroya,149,106,0,1
4,901,Las Tres Villas,484,307,0,1
4,57,Láujar de Andarax,1.265,821,17,10
4,58,Líjar,341,214,1,1
4,48,Los Gallardos,1.480,915,22,7
4,59,Lubrín,1.016,686,16,1
4,60,Lucainena de las Torres,404,244,3,6
4,61,Lúcar,620,422,8,6
4,62,Macael,4.439,2.940,38,15
4,63,María,1.073,702,8,6
4,64,Mojácar,2.860,1.652,18,12
4,65,Nacimiento,350,243,1,4
4,66,Níjar,13.447,7.638,46,73
4,67,Ohanes,518,338,10,1
4,68,Olula de Castro,165,115,1,0
4,69,Olula del Río,4.752,2.911,55,41
4,70,Oria,1.532,1.030,10,2
4,71,Padules,362,269,8,2
4,72,Partaloa,307,205,1,7
4,73,Paterna del Río,332,216,4,2
4,74,Pechina,2.862,1.584,35,26
4,75,Pulpí,5.358,3.207,44,16
4,76,Purchena,1.222,860,21,5
4,77,Rágol,281,248,3,3
4,78,Rioja,1.089,640,8,6
4,79,Roquetas de Mar,53.664,29.829,305,370
4,80,Santa Cruz de Marchena,203,135,4,0
4,81,Santa Fe de Mondújar,347,248,3,0
4,82,Senés,270,165,1,2
4,83,Serón,1.722,1.139,26,11
4,84,Sierro,343,230,4,3
4,85,Somontín,375,245,2,1
4,86,Sorbas,1.670,1.012,13,7
4,87,Suflí,161,104,1,2
4,88,Tabernas,2.445,1.382,13,17
4,89,Taberno,691,456,10,5
4,90,Tahal,272,193,4,2
4,91,Terque,320,243,2,2
4,92,Tíjola,2.774,1.850,39,10
4,93,Turre,1.904,1.004,18,9
4,94,Turrillas,209,137,0,0
4,95,Uleila del Campo,677,402,5,5
4,96,Urrácal,262,182,1,0
4,97,Velefique,234,156,0,2
4,98,Vélez-Blanco,1.468,850,19,7
4,99,Vélez-Rubio,4.909,3.096,63,27
4,100,Vera,9.207,4.490,51,33
4,101,Viator,4.315,2.529,53,23
4,102,Vícar,14.049,7.750,131,94
4,103,Zurgena,1.404,889,7,9
4,990,Residentes Ausentes Almería,41.116,759,14,6
11,1,Alcalá de los Gazules,4.375,2.388,78,35
11,2,Alcalá del Valle,4.220,2.694,46,27
11,3,Algar,1.237,721,25,16
11,4,Algeciras,89.444,45.337,756,753
11,5,Algodonales,4.508,2.598,97,32
11,6,Arcos de la Frontera,24.466,12.843,225,236
11,7,Barbate,17.972,8.561,135,174
11,901,Benalup-Casas Viejas,5.664,3.198,70,93
11,9,Benaocaz,566,350,6,2
11,10,Bornos,6.348,3.407,71,106
11,12,Cádiz,97.832,58.257,775,808
11,13,Castellar de la Frontera,2.319,1.426,60,29
11,15,Chiclana de la Frontera,63.731,31.997,410,658
11,16,Chipiona,14.990,8.031,148,163
11,14,Conil de la Frontera,17.063,9.146,122,251
11,11,El Bosque,1.739,988,52,8
11,18,El Gastor,1.430,914,22,10
11,27,El Puerto de Santa María,68.546,38.003,446,535
11,17,Espera,3.199,1.771,81,50
11,19,Grazalema,1.751,1.184,70,9
11,20,Jerez de la Frontera,165.847,90.127,1.405,1.617
11,21,Jimena de la Frontera,6.718,3.708,115,95
11,22,La Línea de la Concepción,48.574,19.997,1.139,390
11,8,Los Barrios,17.825,9.677,253,195
11,23,Medina-Sidonia,9.335,5.563,93,107
11,24,Olvera,6.585,4.027,88,51
11,25,Paterna de Rivera,4.383,2.330,52,53
11,26,Prado del Rey,4.689,2.971,100,24
