,Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
0,29,1,Alameda,4.194,2.585,64,49
1,29,2,Alcaucín,1.148,692,17,9
2,29,3,Alfarnate,937,638,27,6
3,29,4,Alfarnatejo,296,191,5,2
4,29,5,Algarrobo,4.488,2.632,32,36
5,29,6,Algatocín,668,391,6,5
6,29,7,Alhaurín de la Torre,28.415,16.776,241,255
7,29,8,Alhaurín el Grande,15.024,8.806,134,128
8,29,9,Almáchar,1.430,924,32,9
9,29,10,Almargen,1.615,1.139,78,13
10,29,11,Almogía,2.857,1.450,23,10
11,29,12,Álora,9.722,5.859,167,81
12,29,13,Alozaina,1.590,1.088,33,14
13,29,14,Alpandeire,211,116,1,4
14,29,15,Antequera,32.003,18.831,372,269
15,29,16,Árchez,246,170,0,2
16,29,17,Archidona,6.413,4.140,142,63
17,29,18,Ardales,1.991,1.314,70,21
18,29,19,Arenas,861,594,15,8
19,29,20,Arriate,3.269,2.123,67,34
20,29,21,Atajate,153,86,1,1
21,29,22,Benadalid,170,110,1,1
22,29,23,Benahavís,2.252,1.132,10,2
23,29,24,Benalauría,374,192,6,4
24,29,25,Benalmádena,41.157,22.134,261,258
25,29,26,Benamargosa,1.013,610,14,12
26,29,27,Benamocarra,2.298,1.376,21,13
27,29,28,Benaoján,1.216,702,39,4
28,29,29,Benarrabá,378,247,4,3
29,29,32,Campillos,6.655,4.521,146,86
30,29,33,Canillas de Aceituno,1.080,637,11,14
31,29,34,Canillas de Albaida,468,340,3,2
32,29,35,Cañete la Real,1.504,957,31,5
33,29,36,Carratraca,615,347,11,7
34,29,37,Cartajima,214,151,7,0
35,29,38,Cártama,18.517,9.594,177,164
36,29,39,Casabermeja,2.719,1.613,40,29
37,29,40,Casarabonela,1.922,1.163,23,20
38,29,41,Casares,3.486,1.908,52,29
39,29,42,Coín,14.317,8.240,155,99
40,29,43,Colmenar,2.475,1.379,39,40
41,29,44,Comares,762,454,5,4
42,29,45,Cómpeta,1.675,1.024,19,14
43,29,46,Cortes de la Frontera,2.569,1.561,51,19
44,29,47,Cuevas Bajas,1.088,827,17,8
45,29,49,Cuevas de San Marcos,2.924,1.801,27,11
46,29,48,Cuevas del Becerro,1.368,1.000,24,15
47,29,50,Cútar,399,230,1,4
48,29,30,El Borge,774,569,5,4
49,29,31,El Burgo,1.575,841,26,27
50,29,51,Estepona,41.441,22.217,444,323
51,29,52,Faraján,214,128,0,0
52,29,53,Frigiliana,1.689,981,11,28
53,29,54,Fuengirola,42.322,24.112,227,216
54,29,55,Fuente de Piedra,1.839,1.310,14,11
55,29,56,Gaucín,1.070,685,19,2
56,29,57,Genalguacil,331,229,5,0
57,29,58,Guaro,1.490,852,21,9
58,29,59,Humilladero,2.629,1.736,81,27
