,Codcir,Codmun,Municipio,Party,Votes
0,29,1,Alameda,Cs,216
1,29,2,Alcaucín,Cs,93
2,29,3,Alfarnate,Cs,68
3,29,4,Alfarnatejo,Cs,14
4,29,5,Algarrobo,Cs,408
5,29,6,Algatocín,Cs,46
6,29,7,Alhaurín de la Torre,Cs,3.890
7,29,8,Alhaurín el Grande,Cs,1.370
8,29,9,Almáchar,Cs,86
9,29,10,Almargen,Cs,106
10,29,11,Almogía,Cs,189
11,29,12,Álora,Cs,768
12,29,13,Alozaina,Cs,114
13,29,14,Alpandeire,Cs,20
14,29,15,Antequera,Cs,3.321
15,29,16,Árchez,Cs,9
16,29,17,Archidona,Cs,574
17,29,18,Ardales,Cs,168
18,29,19,Arenas,Cs,45
19,29,20,Arriate,Cs,243
20,29,21,Atajate,Cs,8
21,29,22,Benadalid,Cs,12
22,29,23,Benahavís,Cs,293
23,29,24,Benalauría,Cs,42
24,29,25,Benalmádena,Cs,5.103
25,29,26,Benamargosa,Cs,44
26,29,27,Benamocarra,Cs,187
27,29,28,Benaoján,Cs,96
28,29,29,Benarrabá,Cs,21
29,29,32,Campillos,Cs,575
30,29,33,Canillas de Aceituno,Cs,59
31,29,34,Canillas de Albaida,Cs,35
32,29,35,Cañete la Real,Cs,49
33,29,36,Carratraca,Cs,44
34,29,37,Cartajima,Cs,15
35,29,38,Cártama,Cs,1.706
36,29,39,Casabermeja,Cs,173
37,29,40,Casarabonela,Cs,140
38,29,41,Casares,Cs,311
39,29,42,Coín,Cs,1.669
40,29,43,Colmenar,Cs,200
41,29,44,Comares,Cs,68
42,29,45,Cómpeta,Cs,139
43,29,46,Cortes de la Frontera,Cs,252
44,29,47,Cuevas Bajas,Cs,50
45,29,49,Cuevas de San Marcos,Cs,148
46,29,48,Cuevas del Becerro,Cs,55
47,29,50,Cútar,Cs,40
48,29,30,El Borge,Cs,21
49,29,31,El Burgo,Cs,105
50,29,51,Estepona,Cs,4.679
51,29,52,Faraján,Cs,17
52,29,53,Frigiliana,Cs,167
53,29,54,Fuengirola,Cs,4.644
54,29,55,Fuente de Piedra,Cs,163
55,29,56,Gaucín,Cs,76
56,29,57,Genalguacil,Cs,9
57,29,58,Guaro,Cs,199
58,29,59,Humilladero,Cs,118
59,29,60,Igualeja,Cs,48
60,29,61,Istán,Cs,82
61,29,62,Iznate,Cs,27
62,29,63,Jimera de Líbar,Cs,21
63,29,64,Jubrique,Cs,41
64,29,65,Júzcar,Cs,11
65,29,66,Macharaviaya,Cs,20
66,29,67,Málaga,Cs,51.836
67,29,68,Manilva,Cs,951
68,29,69,Marbella,Cs,9.044
69,29,70,Mijas,Cs,4.779
70,29,71,Moclinejo,Cs,39
71,29,72,Mollina,Cs,222
72,29,73,Monda,Cs,96
73,29,903,Montecorto,Cs,35
74,29,74,Montejaque,Cs,62
75,29,75,Nerja,Cs,1.126
76,29,76,Ojén,Cs,222
77,29,77,Parauta,Cs,5
78,29,79,Periana,Cs,150
79,29,80,Pizarra,Cs,588
80,29,81,Pujerra,Cs,18
81,29,82,Rincón de la Victoria,Cs,4.817
82,29,83,Riogordo,Cs,88
83,29,84,Ronda,Cs,3.049
84,29,85,Salares,Cs,8
85,29,86,Sayalonga,Cs,25
86,29,87,Sedella,Cs,36
87,29,904,Serrato,Cs,14
88,29,88,Sierra de Yeguas,Cs,198
89,29,89,Teba,Cs,116
90,29,90,Tolox,Cs,167
91,29,901,Torremolinos,Cs,5.250
92,29,91,Torrox,Cs,818
93,29,92,Totalán,Cs,47
94,29,93,Valle de Abdalajís,Cs,124
95,29,94,Vélez-Málaga,Cs,5.926
96,29,95,Villanueva de Algaidas,Cs,242
97,29,902,Villanueva de la Concepción,Cs,192
98,29,98,Villanueva de Tapia,Cs,111
99,29,96,Villanueva del Rosario,Cs,187
100,29,97,Villanueva del Trabuco,Cs,355
101,29,99,Viñuela,Cs,73
102,29,100,Yunquera,Cs,154
103,29,990,Residentes Ausentes Málaga,Cs,335
104,11,1,Alcalá de los Gazules,Cs,324
105,11,2,Alcalá del Valle,Cs,96
106,11,3,Algar,Cs,106
107,11,4,Algeciras,Cs,9.834
108,11,5,Algodonales,Cs,316
109,11,6,Arcos de la Frontera,Cs,2.495
110,11,7,Barbate,Cs,1.430
111,11,901,Benalup-Casas Viejas,Cs,506
112,11,9,Benaocaz,Cs,44
113,11,10,Bornos,Cs,557
114,11,12,Cádiz,Cs,11.316
115,11,13,Castellar de la Frontera,Cs,269
116,11,15,Chiclana de la Frontera,Cs,7.305
117,11,16,Chipiona,Cs,1.802
118,11,14,Conil de la Frontera,Cs,2.036
119,11,11,El Bosque,Cs,153
120,11,18,El Gastor,Cs,90
121,11,27,El Puerto de Santa María,Cs,7.971
122,11,17,Espera,Cs,218
123,11,19,Grazalema,Cs,138
124,11,20,Jerez de la Frontera,Cs,20.859
125,11,21,Jimena de la Frontera,Cs,660
126,11,22,La Línea de la Concepción,Cs,4.142
127,11,8,Los Barrios,Cs,2.092
128,11,23,Medina-Sidonia,Cs,1.021
129,11,24,Olvera,Cs,658
130,11,25,Paterna de Rivera,Cs,225
131,11,26,Prado del Rey,Cs,513
132,11,28,Puerto Real,Cs,2.688
133,11,29,Puerto Serrano,Cs,276
134,11,30,Rota,Cs,2.894
135,11,31,San Fernando,Cs,9.086
136,11,902,San José del Valle,Cs,264
137,11,33,San Roque,Cs,2.131
138,11,32,Sanlúcar de Barrameda,Cs,6.374
139,11,34,Setenil de las Bodegas,Cs,155
140,11,35,Tarifa,Cs,1.318
141,11,36,Torre Alháquime,Cs,20
142,11,37,Trebujena,Cs,227
143,11,38,Ubrique,Cs,1.785
144,11,39,Vejer de la Frontera,Cs,727
145,11,40,Villaluenga del Rosario,Cs,52
146,11,41,Villamartín,Cs,1.090
147,11,42,Zahara,Cs,101
148,11,990,Residentes Ausentes Cádiz,Cs,272
149,41,1,Aguadulce,Cs,113
150,41,2,Alanís,Cs,126
151,41,3,Albaida del Aljarafe,Cs,156
152,41,4,Alcalá de Guadaíra,Cs,5.921
153,41,5,Alcalá del Río,Cs,903
154,41,6,Alcolea del Río,Cs,168
155,41,8,Algámitas,Cs,74
156,41,9,Almadén de la Plata,Cs,145
157,41,10,Almensilla,Cs,422
158,41,11,Arahal,Cs,1.091
159,41,12,Aznalcázar,Cs,197
160,41,13,Aznalcóllar,Cs,153
161,41,14,Badolatosa,Cs,119
162,41,15,Benacazón,Cs,542
163,41,16,Bollullos de la Mitación,Cs,881
164,41,17,Bormujos,Cs,2.123
165,41,18,Brenes,Cs,683
166,41,19,Burguillos,Cs,386
167,41,21,Camas,Cs,1.908
168,41,23,Cantillana,Cs,648
169,41,901,Cañada Rosal,Cs,219
170,41,24,Carmona,Cs,1.843
171,41,25,Carrión de los Céspedes,Cs,124
172,41,26,Casariche,Cs,240
173,41,27,Castilblanco de los Arroyos,Cs,328
174,41,28,Castilleja de Guzmán,Cs,321
175,41,29,Castilleja de la Cuesta,Cs,1.488
176,41,30,Castilleja del Campo,Cs,30
177,41,32,Cazalla de la Sierra,Cs,389
178,41,33,Constantina,Cs,475
179,41,34,Coria del Río,Cs,1.936
180,41,35,Coripe,Cs,90
181,41,38,Dos Hermanas,Cs,11.704
182,41,39,Écija,Cs,3.931
183,41,31,El Castillo de las Guardas,Cs,60
184,41,36,El Coronil,Cs,197
185,41,903,El Cuervo de Sevilla,Cs,708
